rank,stadium,capacity,region,country,city,images,home_team,location
302,Vasil Levski National Stadium,43230,Europe,Bulgaria,Sofia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Vasil_Levski_National_Stadium_2022.jpg/220px-Vasil_Levski_National_Stadium_2022.jpg,Bulgaria national football team,"[42.68755135, 23.3352239632]"
303,Estadio Universidad San Marcos,43000,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Vista_estadios_san_marcos.jpg/220px-Vista_estadios_san_marcos.jpg,Deportivo Universidad San Marcos,"[-12.05759355, -77.0832585614]"
304,Ullevi,43000,Europe,Sweden,Gothenburg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ullevi_stadium%2C_23_june_2018.png/220px-Ullevi_stadium%2C_23_june_2018.png,Sweden women's national football team,"[57.7059197, 11.9873275989]"
305,Jinzhou Binhai Sports Centre Stadium,43000,East Asia,China,Jinzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[40.8723509, 121.0644040531]"
306,Estadio General Santander,42901,South America,Colombia,Cúcuta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cucuta704.jpg/220px-Cucuta704.jpg,Cúcuta Deportivo,"[7.89466265, -72.5018525203]"
307,Villa Park,42682,Europe,England,"Birmingham, West Midlands",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Villa_Stadion_panorama_2016.jpg/220px-Villa_Stadion_panorama_2016.jpg,Aston Villa F.C.,"[52.5091264, -1.8850354312]"
308,Perak Stadium,42500,Southeast Asia,Malaysia,Perak,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Perak_Stadium.JPG/220px-Perak_Stadium.JPG,Perak FA,"[4.6094268, 101.1035452187]"
309,Jeonju World Cup Stadium,42477,East Asia,South Korea,Jeonju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg/220px-%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg,Jeonbuk Hyundai Motors FC,"[35.8678074, 127.0645890698]"
310,Ligga Arena,42372,South America,Brazil,"Curitiba, Paraná",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Arenadabaixada2.jpg/220px-Arenadabaixada2.jpg,C Athletico Paranaense,"[-25.4295963, -49.2712724]"
311,Weserstadion,42358,Europe,Germany,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Weserstadion_panorama.JPG/220px-Weserstadion_panorama.JPG,SV Werder Bremen,"[53.06644785, 8.8376718151]"
312,Denka Big Swan Stadium,42300,East Asia,Japan,"Niigata, Niigata",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bigswan080628.JPG/220px-Bigswan080628.JPG,Albirex Niigata,"[37.88257595, 139.0591584074]"
313,Estadio Olimpico Metropolitano de Mérida,42200,South America,Venezuela,Mérida,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Metropolitanodemeridacopamerica.jpg/220px-Metropolitanodemeridacopamerica.jpg,Estudiantes de Mérida,"[8.55586575, -71.2179965253]"
314,Daejeon World Cup Stadium,42176,East Asia,South Korea,Daejeon,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Daejeon_World_Cup_Stadium.JPG/220px-Daejeon_World_Cup_Stadium.JPG,Daejeon Citizen,"[36.36525335, 127.3251074229]"
315,Matmut ATLANTIQUE,42115,Europe,France,Bordeaux,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/500px_photo_%28165733217%29.jpeg/220px-500px_photo_%28165733217%29.jpeg,FC Girondins de Bordeaux,"[44.89732515, -0.5616026109]"
316,Helsingin Olympiastadion,42062,Europe,Finland,Helsinki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Olympiastadion_2_2020-08-12.jpg/220px-Olympiastadion_2_2020-08-12.jpg,Finland national football team,"[60.1870012, 24.9272509368]"
317,Estadio Inca Garcilaso de la Vega,42056,South America,Peru,Cusco,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,CS Cienciano,"[-13.5255188, -71.9664760884]"
318,Estádio Serra Dourada,42000,South America,Brazil,"Goiânia, Goiás",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Serra_Dourada_Lotado.jpg/220px-Serra_Dourada_Lotado.jpg,"Goiás Esporte Clube, Vila Nova, Atlético Goianiense","[-16.69906535, -49.2331877757]"
319,Estadio Deportivo Cali,42000,South America,Colombia,Cali,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/SportingCali12.png/220px-SportingCali12.png,Deportivo Cali,"[3.52168105, -76.4170625586]"
320,Estadio Modelo Alberto Spencer,42000,South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Estadio_Modelo_Lleno_2007_-_panoramio.jpg/220px-Estadio_Modelo_Lleno_2007_-_panoramio.jpg,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club","[-2.1789233, -79.8943537672]"
321,Estádio do Zimpeto,42000,Africa,Mozambique,Maputo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Mozambique national football team,"[-25.82765365, 32.5749811153]"
322,Chengdu Sports Centre Stadium,42000,East Asia,China,"Chengdu, Sichuan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Chengdu_Sports_Center.JPG/220px-Chengdu_Sports_Center.JPG,,"[30.7627585, 103.8655007845]"
323,Royal Bafokeng Stadium,42000,Africa,South Africa,"Phokeng, North West",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Royal_Bafokeng_Stadium%2C_Phokeng.jpg/220px-Royal_Bafokeng_Stadium%2C_Phokeng.jpg,Platinum Stars FC,"[-25.57877625, 27.1609204498]"
324,Estadio Universitario,42000,North America,Mexico,San Nicolás de los Garza,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Estadio_Universitario_Concachampions.jpg/220px-Estadio_Universitario_Concachampions.jpg,Tigres de la UANL,"[25.72260665, -100.3119862931]"
325,Estadio Brigadier General Estanislao López,42000,South America,Argentina,Santa Fe,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg/220px-Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg,Club Atlético Colón,"[-31.6632166, -60.7252464548]"
326,Estadio Marcelo Bielsa,42000,South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Estadio_Marcelo_Bielsa.jpg/220px-Estadio_Marcelo_Bielsa.jpg,Newell's Old Boys,"[-32.9561707, -60.6613760797]"
327,Stade Geoffroy-Guichard,41965,Europe,France,Saint-Étienne,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/St_Etienne_Stade_Geoffroy_Guichard.jpg/220px-St_Etienne_Stade_Geoffroy_Guichard.jpg,AS Saint-Étienne,"[45.46075665, 4.3900932074]"
328,Vodafone Park,41903,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Vodafone_Park_Panorama.jpg/220px-Vodafone_Park_Panorama.jpg,Beşiktaş J.K.,"[41.0091982, 28.9662187]"
329,Peter Mokaba Stadium,41733,Africa,South Africa,Polokwane,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Teams_are_warming_up_%284738980575%29.jpg/220px-Teams_are_warming_up_%284738980575%29.jpg,Polokwane City FC,"[-23.92480585, 29.467960091]"
330,Estadio Gigante de Arroyito,41654,South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Estadio_Gigante_de_Arroyito.jpg/220px-Estadio_Gigante_de_Arroyito.jpg,Rosario Central,"[-32.9139783, -60.6745028828]"
331,Estadio Cachamay,41600,South America,Venezuela,Ciudad Guayana,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/CTE_Chamay_Aereo_Cut.jpg/220px-CTE_Chamay_Aereo_Cut.jpg,"Atlético Club Mineros de Guayana, AC Minervén FC","[8.3126855, -62.6963395314]"
332,Estadio de Liga Deportiva Universitaria,41596,South America,Ecuador,Quito,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG/220px-Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG,LDU,"[-0.1077231, -78.4890768103]"
333,Allianz Stadium,41507,Europe,Italy,"Turin, Piedmont",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg/220px-Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg,Juventus FC,"[45.10965935, 7.6420997726]"
334,Sapporo Dome,41484,East Asia,Japan,"Sapporo, Hokkaido",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sapporo_Dome_001.jpeg/220px-Sapporo_Dome_001.jpeg,Hokkaido Consadole Sapporo,"[43.0147798, 141.4097434427]"
335,Stamford Bridge,41663,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg/220px-Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg,Chelsea F.C.,"[51.4816865, -0.1910351767]"
336,Goyang Stadium,41311,East Asia,South Korea,Goyang,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Goyang_sta_1.JPG/220px-Goyang_sta_1.JPG,Goyang Zaicro FC,"[37.6764849, 126.743153794]"
337,Estadio Hernando Siles,41143,South America,Bolivia,La Paz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Hernando_Siles_Stadium_-_La_Paz.jpg/220px-Hernando_Siles_Stadium_-_La_Paz.jpg,"La Paz FC, Club Bolívar, The Strongest","[-16.4994503, -68.122853236]"
338,Bingu National Stadium,41100,Africa,Malawi,Lilongwe,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/BINGU_NATIONAL_STADIUM.jpg/220px-BINGU_NATIONAL_STADIUM.jpg,"Flames, Big Bullets FC","[-13.9438618, 33.7531969012]"
339,Mbombela Stadium,40929,Africa,South Africa,"Nelspruit, Mpumalanga",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mbombela_Stadium_arena.jpg/220px-Mbombela_Stadium_arena.jpg,,"[-25.4617294, 30.9296898975]"
340,Estadio José Pachencho Romero,40800,South America,Venezuela,Maracaibo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/JPPachenchoRomero-16.jpg/220px-JPPachenchoRomero-16.jpg,Unión Atlético Maracaibo,"[10.6740483, -71.6449990278]"
341,Stade Nelson Mandela,40784,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Nelson_Mandela_Stadium.jpg/220px-Nelson_Mandela_Stadium.jpg,Algeria national football team,"[36.69380525, 3.1220522427]"
342,Kashima Football Stadium,40728,East Asia,Japan,"Kashima, Ibaraki",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kashima_Soccer_Stadium_5.jpg/220px-Kashima_Soccer_Stadium_5.jpg,Kashima Antlers,"[35.9920049, 140.6403678666]"
343,Baba Yara Stadium,40528,Africa,Ghana,Kumasi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kumasi924.JPG/220px-Kumasi924.JPG,"Asante Kotoko, King Faisal Babes","[6.68217, -1.6050641736]"
344,Estadio Couto Pereira,40502,South America,Brazil,"Curitiba, Paraná",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Est%C3%A1dio_Couto_Pereira.jpg/220px-Est%C3%A1dio_Couto_Pereira.jpg,Coritiba Foot Ball Club,"[-25.4214376, -49.2597566826]"
345,RCDE Stadium,40500,Europe,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Estadicornellaelprat_1.jpg/220px-Estadicornellaelprat_1.jpg,RCD Espanyol,"[41.3478069, 2.0748019533]"
346,Estadio Metropolitano de fútbol de Lara,40312,South America,Venezuela,Barquisimeto,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Estadio_Metropolitano_de_Lara.jpg/220px-Estadio_Metropolitano_de_Lara.jpg,Unión Lara,"[10.0774374, -69.3222293]"
347,Estadio Malvinas Argentinas,40268,South America,Argentina,Mendoza,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Estadio_Malvinas_Argentinas_2012.jpg/220px-Estadio_Malvinas_Argentinas_2012.jpg,Godoy Cruz Antonio Tomba,"[-32.889601, -68.8798575653]"
348,Stadion Lukas Enembe,40263,Southeast Asia,Indonesia,Nolokla,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lukas_Enembe_Stadium.jpg/220px-Lukas_Enembe_Stadium.jpg,Persipura Jayapura,"[-2.5789948, 140.5734833758]"
349,Gwangju World Cup Stadium,40245,East Asia,South Korea,Gwangju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Gwangju_World_Cup_Stadium.jpg/220px-Gwangju_World_Cup_Stadium.jpg,Gwangju FC,"[35.133695, 126.8749872074]"
350,Estadio Virgen de Chapi,40217,South America,Peru,Arequipa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,FBC Melgar,"[-16.3452308, -71.5421398713]"
351,Sân vận động Quốc gia Mỹ Đình,40192,Southeast Asia,Vietnam,Hanoi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg/220px-Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg,Vietnam national football team,"[21.0204791, 105.7639587837]"
352,Goodison Park,40157,Europe,England,"Liverpool, North West",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Goodison_Park_August_2022.jpg/220px-Goodison_Park_August_2022.jpg,Everton FC,"[53.43868975, -2.9664192835]"
353,Castelão,40149,South America,Brazil,"São Luís, Maranhão",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg/220px-Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg,"Sampaio Corrêa FC, Moto Club SL, Maranhão AC","[-2.5295265, -44.2963942]"
354,Stade Miloud-Hadefi,40143,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Stade_de_Oran.jpg/220px-Stade_de_Oran.jpg,"Algeria national football team, MC Oran","[35.72853115, -0.5494977815]"
355,Estadio Campeón del Siglo,40005,South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg/220px-Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg,Club Atlético Peñarol,"[-34.7974209, -56.0662819838]"
356,Metalist Stadium,40003,Europe,Ukraine,Kharkiv,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Metalist_Stadium_Kharkiv.jpg/220px-Metalist_Stadium_Kharkiv.jpg,"FC Metalist Kharkiv, FC Shakhtar Donetsk","[49.980863, 36.2615759632]"
357,Al-Janoub Stadium,40000,West Asia,Qatar,Al-Wakrah,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg/220px-Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg,,"[25.15970785, 51.5742271021]"
358,Al-Thumama Stadium,40000,West Asia,Qatar,Al-Thumama,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Al_Thumama_Stadium_%282%29.jpg/220px-Al_Thumama_Stadium_%282%29.jpg,,"[25.2353106, 51.5329152492]"
359,Stade Ahmed-Zabana,40000,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Stade_Ahmed_Zabana_2.jpg/220px-Stade_Ahmed_Zabana_2.jpg,MC Oran,"[35.683357, -0.6365156098]"
360,Stadion Batakan,40000,Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/2017-11-14_Batakan.jpg/220px-2017-11-14_Batakan.jpg,Persiba Balikpapan,"[-1.2398711, 116.8593379]"
361,Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,"Gresik, East Java",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gelora_Joko_Samudro_Stadium_%282016%29.jpg/220px-Gelora_Joko_Samudro_Stadium_%282016%29.jpg,Gresik United,"[-5.79334655, 112.6598223201]"
362,Fisht Olympic Stadium,40000,Europe,Russia,Sochi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg/220px-2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg,,"[43.5854823, 39.723109]"
363,Rentschler Field,40000,North America,United States,"East Hartford, Connecticut",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Rentschler_Field_2017.jpg/220px-Rentschler_Field_2017.jpg,,"[41.7596149, -72.6188369052]"
364,Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg/220px-Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg,"Kerala Blasters, India national football team","[9.9674277, 76.2454436]"
365,Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Stadium_Hang_Jebat_015342.jpg/220px-Stadium_Hang_Jebat_015342.jpg,Melaka United,"[2.28853045, 102.2330317208]"
366,Hong Kong Stadium,40000,East Asia,Hong Kong,So Kon Po,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hong_Kong_Stadium-1.jpg/220px-Hong_Kong_Stadium-1.jpg,South China AA,"[22.274195, 114.1890487]"
367,Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Batu_Kawan_Stadium%2CPenang.jpg/220px-Batu_Kawan_Stadium%2CPenang.jpg,Penang FA,"[5.2614822, 100.4363541347]"
368,Accra Sports Stadium,40000,Africa,Ghana,Accra,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Ohene_Djan_stadium%2C_Accra.jpg/220px-Ohene_Djan_stadium%2C_Accra.jpg,"Accra Hearts of Oak SC, Great Olympics","[5.5515153, -0.192335142]"
369,Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stadium_Sarawak.JPG/220px-Stadium_Sarawak.JPG,Sarawak FA,"[1.58852325, 110.3593436303]"
370,Bogyoke Aung San Stadium,40000,Southeast Asia,Myanmar,Yangon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aungsan_Stadium.jpg/220px-Aungsan_Stadium.jpg,Yangon United FC,"[16.7838408, 96.1606229155]"
371,Resonac Dome Ōita,40000,East Asia,Japan,Ōita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%C5%8Cita_Stadium_2023-03.jpg/220px-%C5%8Cita_Stadium_2023-03.jpg,Ōita Trinita,"[33.2007159, 131.6574920036]"
372,Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stadium_Pahang.jpg/220px-Stadium_Pahang.jpg,Pahang FA,"[3.81538875, 103.3236608115]"
373,Khalifa International Stadium,40000,West Asia,Qatar,Doha,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Khalifa_International_Stadium.jpg/220px-Khalifa_International_Stadium.jpg,Qatar national football team,"[25.26365305, 51.4492244658]"
374,Stade d'Angondjé,40000,Africa,Gabon,Libreville,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Cameroon_celebrating_winning_2017_Africa_Cup_of_Nations.jpg/220px-Cameroon_celebrating_winning_2017_Africa_Cup_of_Nations.jpg,Gabon national football team,"[0.521355, 9.3930276294]"
375,Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Pakistan national football team, HBL F.C.","[24.8582424, 66.9875836]"
376,JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/J.R.D._Tata_Stadium.jpg/220px-J.R.D._Tata_Stadium.jpg,"Jamshedpur FC, Tata Football Academy","[22.80602985, 86.1935297085]"
377,Bao'an Stadium,40000,East Asia,China,"Shenzhen, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bao%27an_Stadium.jpg/220px-Bao%27an_Stadium.jpg,,"[22.5632358, 113.8764671]"
378,Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,"Kunming, Yunnan",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Kunming_07.JPG/220px-Kunming_07.JPG,China national football team,"[25.0363006, 102.7086139]"
379,Taizhou Sports Centre Stadium,40000,East Asia,China,"Taizhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.6496194, 121.3953789788]"
380,Wuhu Olympic Stadium,40000,East Asia,China,"Wuhu, Anhui",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[31.1800568, 118.2141777]"
381,Huizhou Olympic Stadium,40000,East Asia,China,"Huizhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[23.03555805, 114.4415201147]"
